"Client:","Division:","Program:","Opportunity Type:","Funnel Stage:","Practice Group:","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",
"DuPont","DuPont","TruChoice","Technekes Only","Closed","AG",21108,21108,54021,54021,54021,54021,54021,54021,54021,54021,54021,54021
"DuPont","DuPont","Land Use Management Inside Sales","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"DuPont","DuPont","2011 Suite Choices Incentive System Enhancements","Technekes Only","Opportunity","AG",,,,,,,,,,,,
"DuPont","DuPont","2011 ""Build a Better Team"" Inside Sales Support","Technekes Only","Conversation","AG",,,,,,,,,,,,
"DuPont","DuPont","Program Communication Manager","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"DuPont","DuPont","Cereals Demand Creation","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"DuPont","DuPont","Realm Q Demand Creation","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"DuPont","DuPont","Southern Partner Acre Rewards Program","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"DuPont","DuPont","Cereals Portfolio Opportunity Analysis","Technekes Only","Closed","AG",,,,,,,20500,,,17500,,
"DuPont","DuPont","Pioneer Data Integration and Marketing Database Development","Technekes Only","Closed","AG",,,,,,,,,13200,,,
"Envincio","Envincio","John Deere Landscapes Outreach","Technekes Only","Key Target","AG",,,,,25000,25000,20000,,,,,
"Elanco Animal Health","Elanco Animal Health","Animal Health","Technekes Only","Closed","AG",,,,,,,,,,,,
"Ingersoll Rand","Industrial Technologies","Communications Database, Email Campaign Management, Bouncebacks and Web Inquiry Management ","Technekes Only","SOW","AG",,,,,30000,20000,20000,20000,20000,20000,20000,20000
"Intervet Schering Plough","Intervet Schering Plough","Animal Health","Technekes Only","Key Target","AG",,,,,,,,,,,,
"JD Credit","JD Credit","Ag Credit/Finance","Cross Practice Groups","Key Target","AG",,,,,,,,,,,,
"NuFarm Americas","Nufarm Americas","Ag Chem Division","Technekes Only","SOW","AG",,,,,,10000,10000,10000,10000,,,
"John Deere ","John Deere ","Equipment Division","Technekes Only","Key Target","AG",,,,,,,,,,,,
"Novartis Animal Health","Novartis Animal Health","Animal Health","Technekes Only","Key Target","AG",,,,,,,,,,,,
"Pfizer Animal Health ","Pfizer Animal Health ","Animal Health","Technekes Only","Conversation","AG",,,,,,,,,,,,
"PhytoGen Seeds","PhytoGen Seeds","PhytoGen Cares","Technekes Only","Lost","AG",,,,,,,,,,,,
"Pioneer","Pioneer","Southern Region Customer Satisfaction","Technekes Only","Lost","AG",,,,,,,,,,,,
"Pioneer","Pioneer","Sales Tool Box","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"Pioneer","Pioneer","Western Region Market Research","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"Pioneer","Pioneer","Heartland Region Retention","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"Pioneer","Pioneer","Northeast Region Retention","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"Rabobank","Rabobank","Ag Credit/Finance","Cross Practice Groups","Key Target","AG",,,,,,,,,,,,
"RCIS","RCIS","Rewards Platform","Partnered","Conversation","AG",,,,,,,,,,,,
"RCIS","RCIS","RCIS / BASF Co-Branded Mailing","Technekes Only","Lost","AG",,,,,,,,,,,,
"RCIS","RCIS","Data Collection","Technekes Only","Opportunity","AG",,,,,,,,,,,,
